cluster,category,overlap,p_enrich,weighted,rank
33,Mesenchymal cells,6,0.9999996460193684,22.215888640000003,2
33,Progenitor_Haem,9,0.9999999991211215,15.334943240000003,3
34,Fibroblast,5,0.989909279736061,5.97332028,1
34,Progenitor_Haem,1,0.9999999999849527,2.4105184,2
34,Chondrocyte,3,0.9327333369592611,2.28866046,3
35,Muscle,17,0.5295036337473581,31.27990171,1
35,Myeloid_Haem,15,1.0,15.234943350000004,2
35,Mesenchymal cells,7,0.9999999986156984,12.959124169999999,3
36,Muscle,14,0.8438540235793519,27.37019346,1
36,Fibroblast,8,0.9999763788201138,11.36052045,2
36,Myeloid_Haem,9,1.0,7.049980219999999,3
37,Chondrocyte,9,0.3898667748918109,21.425838029999998,1
37,Fibroblast,9,0.9913765438939232,18.473991070000004,2
37,Progenitor_Haem,6,0.9999999999860352,14.976669200000002,3
38,Myeloid_Haem,52,0.999075870639601,122.45254360999999,1
38,Lymphoid_Haem,27,0.9999951482190857,45.344133,2
38,Progenitor_Haem,17,0.9999949790778869,31.401818190000007,3
39,Myeloid_Haem,52,0.9999959799384784,227.56265560000008,1
39,Progenitor_Haem,24,0.9998107211413225,106.3982157,2
39,Lymphoid_Haem,19,0.9999999999998346,63.95442057,3
4,Chondrocyte,9,0.14236883122968885,37.13388135,1
4,Fibroblast,4,0.9996432233992963,9.83907123,2
4,Progenitor_Haem,5,0.9999999928591803,6.440961099999999,3
40,Myeloid_Haem,9,0.9957527882609373,10.26412724,1
40,Fibroblast,3,0.8294237650144447,7.513344200000001,2
40,Erythroid,5,0.6948132523837144,5.06813267,3
41,Muscle,11,0.9765462274701434,32.72917437,1
41,Myeloid_Haem,7,1.0,17.46078696,2
41,Erythroid,11,0.999994349304515,13.387880379999999,3
42,Fibroblast,8,0.9999391168023454,21.0067476,1
42,Myeloid_Haem,12,1.0,19.878255220000003,2
42,Erythroid,8,0.9999999088828403,8.737292900000002,3
43,Progenitor_Haem,3,0.99999999973568,9.2728595,1
