,FACS_Sorting,Age,Method,Multiplexed,Dataset,Anatomical_Site,Organ,10X_Chemistry,Donor_ID,Accession_ID,Organism,Sample_ID,Sex,Expected_Donors,Study,Technology,Age(PCW)
31,Total,8.0,3GEX,No,Linnarson,MGE_(striatum),Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X99_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
32,Total,8.0,3GEX,No,Linnarson,MGE_(striatum),Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X99_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
33,Total,8.0,3GEX,No,Linnarson,Medulla,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
34,Total,8.0,3GEX,No,Linnarson,Medulla,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
35,Total,8.0,3GEX,No,Linnarson,LGE_(striatum),Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
36,Total,8.0,3GEX,No,Linnarson,LGE_(striatum),Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
37,Total,8.0,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
38,Total,8.0,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X98_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
39,Total,8.0,3GEX,No,Linnarson,Ventral_midbrain,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X97_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
40,Total,8.0,3GEX,No,Linnarson,Ventral_midbrain,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X97_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
41,Total,8.0,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X97_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
42,Total,8.0,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X97_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
43,Total,8.0,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
