published_propagated_anno,published_propagated_anno_level2,published_propagated_anno_level1,published_propagated_anno_level0
FIBRO_1,Fibroblast,Stroma (Fibroblast),Stroma
NeuralFibro,Fibroblast,Stroma (Fibroblast),Stroma
CYCLING_FIBROBLAST_II,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_VIII,Fibroblast,Stroma (Fibroblast),Stroma
Dermal papilla,Fibroblast,Stroma (Fibroblast),Stroma
CCL19+ fibroblast,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_IV,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_I,Fibroblast,Stroma (Fibroblast),Stroma
MESENCHYMAL_LYMPHOID_TISSUE_ORGANISER,Fibroblast,Stroma (Fibroblast),Stroma
InterMusFibro,Fibroblast,Stroma (Fibroblast),Stroma
arteriolar fibroblast,Fibroblast,Stroma (Fibroblast),Stroma
myofibroblast,Fibroblast,Stroma (Fibroblast),Stroma
endosteal fibroblast,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_II,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_III,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_XIV,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_XIII,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_XV,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_XVI,Fibroblast,Stroma (Fibroblast),Stroma
FIBROBLAST_V,Fibroblast,Stroma (Fibroblast),Stroma
HEPATOCYTE_I,Hepatocyte,Stroma (Hepatocyte),Stroma
HEPATOCYTE_II,Hepatocyte,Stroma (Hepatocyte),Stroma
HEPATOCYTE-LIKE,Hepatocyte,Stroma (Hepatocyte),Stroma
MESOTHELIUM,Mesothelium,Stroma (Mesothelium),Stroma
Pericytes,Mural Cell,Stroma (Mural Cell),Stroma
VSMC_PERICYTE_II,Mural Cell,Stroma (Mural Cell),Stroma
VSMC_PERICYTE_I,Mural Cell,Stroma (Mural Cell),Stroma
Pericyte,Mural Cell,Stroma (Mural Cell),Stroma
VSMC_PERICYTE,Mural Cell,Stroma (Mural Cell),Stroma
PLN+ mural cell,Mural Cell,Stroma (Mural Cell),Stroma
LMCD1+ mural cell,Mural Cell,Stroma (Mural Cell),Stroma
VSMC_PERICYTE_III,Mural Cell,Stroma (Mural Cell),Stroma
DEVELOPING_NEPHRON_II,Nephron,Stroma (Nephron),Stroma
DEVELOPING_NEPHRON_I,Nephron Progenitor,Stroma (Nephron),Stroma
low_confidence,low_confidence,low_confidence,low_confidence
